ir_meas,tsky
70.0,192.119202
70.43043043043043,192.49418663257464
70.86086086086087,192.78315903650244
71.29129129129129,193.053257989475
71.72172172172172,193.323735364737
72.15215215215215,193.59459169247708
72.58258258258259,193.86582750362686
73.01301301301301,194.0598
73.44344344344344,194.3996865860504
73.87387387387388,194.67205037585194
74.30430430430431,194.94479576109373
74.73473473473473,195.19840148408267
75.16516516516516,195.47188431383955
75.5955955955956,195.72617573183766
76.02602602602603,196.000398
76.45645645645645,196.26515775836603
76.88688688688688,196.5204811540818
77.31731731731732,196.77613670267257
77.74774774774775,197.0321248362394
78.17817817817817,197.28844598744564
78.6086086086086,197.5451005895173
79.03903903903904,197.80208907624416
79.46946946946947,198.0
79.8998998998999,198.30712028643023
80.33033033033033,198.5651000925479
80.76076076076076,198.8035331657419
81.1911911911912,199.06215876056436
81.62162162162163,199.30118869204662
82.05205205205205,199.56046169214633
82.48248248248248,199.80008997600424
82.91291291291292,200.0
83.34334334334335,200.29019148929456
83.77377377377377,200.53069601836404
84.2042042042042,200.7915684973992
84.63463463463464,201.03267507013504
85.06506506506507,201.27407115890912
85.49549549549549,201.51575711136658
85.92592592592592,201.73755750224245
86.35635635635636,201.97979999999998
86.78678678678679,202.2324115447566
87.21721721721721,202.45500072870618
87.64764764764764,202.6981047182025
88.07807807807808,202.9415006221958
88.50850850850851,203.1648702723322
88.93893893893895,203.40882665923758
89.36936936936937,203.63271067658357
89.7997997997998,203.85684111417626
90.23023023023023,204.02
90.66066066066065,204.33645798402782
91.09109109109109,204.56136300833313
91.52152152152152,204.78651557666686
91.95195195195195,205.01191596149096
92.38238238238239,205.23756443556704
92.81281281281281,205.4634612719572
93.24324324324324,205.68960674402396
93.67367367367368,205.91600112543065
94.10410410410411,206.0602
94.53453453453454,206.35918458161157
94.96496496496496,206.58631594075263
95.3953953953954,206.81369729436037
95.82582582582583,207.04132891759375
96.25625625625625,207.2484841648062
96.68668668668668,207.4765943406809
97.11711711711712,207.68418509280812
97.54754754754755,207.9127748273908
97.97797797797799,208.120802
98.4084084084084,208.3394198213897
98.83883883883884,208.56873074681627
99.26926926926927,208.77741423626503
99.69969969969969,208.98630652402508
100.13013013013013,209.20739305708355
100.56056056056056,209.41671556024735
100.990990990991,209.62624750108782
101.42142142142143,209.8359890891578
101.85185185185185,210.04594053421988
102.28228228228228,210.2665805926382
102.71271271271272,210.47696286612387
103.14314314314313,210.68755563763952
103.57357357357358,210.89835911779912
104.004004004004,211.10937351742717
104.43443443443444,211.29946698765443
104.86486486486487,211.51088271584993
105.29529529529529,211.7225099760988
105.72572572572572,211.9343489800494
106.15615615615616,212.12518529956816
106.58658658658658,212.34800947392452
107.01701701701703,212.53921827410323
107.44744744744744,212.7518744357212
107.87787787787788,212.94344689617145
108.30830830830831,213.1565075088262
108.73873873873873,213.34844432119394
109.16916916916918,213.56191015411144
109.5995995995996,213.75421201135802
110.03003003003003,213.94668702684373
110.46046046046047,214.160751431632
110.89089089089089,214.35359251560578
111.32132132132132,214.5572996159307
111.75175175175175,214.75049777178245
112.18218218218217,214.94386989294546
112.61261261261262,215.13741613606692
113.04304304304304,215.3311366579349
113.47347347347348,215.52503161547887
113.90390390390391,215.7191011657693
114.33433433433433,215.91334546601828
114.76476476476476,216.10776467357957
115.1951951951952,216.30235894594838
115.62562562562562,216.49712844076186
116.05605605605606,216.70287261208946
116.48648648648648,216.87631294922483
116.91691691691692,217.07159926101534
117.34734734734735,217.2670614183975
117.77777777777777,217.46269957971157
118.20820820820822,217.6367480520499
118.63863863863864,217.83271909775422
119.06906906906907,218.02886660561904
119.4994994994995,218.2033682154662
119.92992992992993,218.3998494743902
120.36036036036036,218.5746480041307
120.7907907907908,218.72771147699996
121.22122122122121,218.9574711901144
121.65165165165166,219.13271601803822
122.08208208208208,219.33003410834436
122.51251251251252,219.50557712077017
122.94294294294295,219.70323095391782
123.37337337337337,219.87907265821576
123.8038038038038,220.0550550992013
124.23423423423424,220.2532037098853
124.66466466466466,220.4294855904442
125.0950950950951,220.60590855999016
125.52552552552552,220.78247273144527
125.95595595595596,220.93708229999996
126.38638638638639,221.14704590201563
126.81681681681681,221.32404317821872
127.24724724724726,221.523334449428
127.67767767767768,221.70063289197802
128.10810810810813,221.8780732371308
128.53853853853855,222.05565559845954
128.96896896896897,222.23338008962833
129.39939939939939,222.41124682439224
129.82982982982983,222.5892559165973
130.26026026026025,222.76740748018074
130.6906906906907,222.92340705900807
131.12112112112112,223.10182606383992
131.55155155155154,223.29151550665947
131.981981981982,223.47022913081278
132.4124124124124,223.62672088164467
132.84284284284286,223.80570279081206
133.27327327327328,223.98482794996175
133.7037037037037,224.16409647374536
134.13413413413411,224.3210741260585
134.56456456456456,224.50061176787193
134.994994994995,224.6802931044539
135.42542542542543,224.837632238987
135.85585585585585,225.0175833133137
136.28628628628627,225.17515864546255
136.71671671671672,225.35537986246453
137.14714714714717,225.52443066172597
137.57757757757759,225.70493142212072
138.008008008008,225.862988090461
138.43843843843842,226.0211554427382
138.86886886886887,226.20205376183833
139.29929929929932,226.3604585550524
139.72972972972974,226.54162843883222
140.16016016016016,226.70027102942964
140.59059059059058,226.85902471427372
141.02102102102103,227.04059363052463
141.45145145145145,227.19958563650843
141.8818818818819,227.3586889814275
142.31231231231232,227.54065780903127
142.74274274274273,227.7
143.17317317317315,227.87080962085471
143.6036036036036,228.03038301056193
144.03403403403405,228.19006814633585
144.46446446446447,228.34986510643012
144.8948948948949,228.50977396915312
145.3253253253253,228.66979481286788
145.75575575575576,228.85281299729218
146.1861861861862,229.01307406440634
146.61661661661662,229.17344735915407
147.04704704704704,229.3339329601261
147.47747747747746,229.49453094596828
147.9079079079079,229.65524139538144
148.33833833833836,229.81606438712163
148.76876876876878,229.977
149.1991991991992,230.12650276529126
149.62962962962962,230.28765577198322
150.06006006006007,230.44892163091623
150.4904904904905,230.61030042111852
150.92092092092093,230.77179222167356
151.35135135135135,230.9333971117202
151.78178178178177,231.0720056589358
152.2122122122122,231.23382078247357
152.64264264264264,231.39574922191957
153.0730730730731,231.5577910566268
153.5035035035035,231.71994636600365
